hour_of_year,insolation,temperature,wind,rainfall
474,0,18.405,,
475,0,17.828,,
476,0,17.476,,
477,0,16.985,,
478,0,16.25,,
479,0,15.162,,
480,0,13.891,,
481,1,12.955,,
482,104,14.554,,
483,286,18.382,,
484,524,21.969,,
485,736,25.098,,
486,846,26.507,,
487,854,27.047,,
488,763,26.921,,
489,552,26.197,,
490,320,25.079,,
491,93,23.355,,
492,5,19.36,,
493,0,17.353,,
494,0,16.555,,
495,0,16.179,,
496,0,15.714,,
497,0,14.916,,
498,0,14.128,,
499,0,13.288,,
500,0,12.432,,
501,0,11.6,,
502,0,10.976,,
503,0,10.698,,
504,0,10.555,,
505,1,10.493,,
506,75,11.92,,
507,282,14.854,,
508,519,18.494,,
509,705,20.921,,
510,856,22.575,,
511,872,23.627,,
512,759,24.071,,
513,564,23.978,,
514,389,23.413,,
515,163,22.134,,
516,11,17.797,,
517,0,15.935,,
518,0,15.118,,
519,0,14.509,,
520,0,14.028,,
521,0,13.51,,
522,0,12.837,,
523,0,12.126,,
524,0,11.477,,
525,0,10.929,,
526,0,10.507,,
527,0,10.197,,
528,0,9.983,,
529,2,9.841,,
530,156,12.301,,
531,418,16.687,,
532,653,20.548,,
533,822,22.389,,
534,911,23.672,,
535,923,24.542,,
536,851,24.969,,
537,704,24.928,,
538,481,24.287,,
539,205,22.872,,
540,14,18.275,,
541,0,16.19,,
542,0,15.109,,
543,0,14.222,,
544,0,13.449,,
545,0,12.701,,
546,0,11.992,,
547,0,11.311,,
548,0,10.688,,
549,0,10.153,,
550,0,9.703,,
551,0,9.304,,
552,0,8.968,,
553,2,8.674,,
554,169,11.118,,
555,429,14.552,,
556,658,19.224,,
557,822,22.297,,
558,871,23.701,,
559,878,24.546,,
560,800,24.861,,
561,628,24.589,,
562,398,23.715,,
563,140,22.098,,
564,8,18.116,,
565,0,16.548,,
566,0,15.758,,
567,0,14.809,,
568,0,13.802,,
569,0,12.886,,
570,0,12.054,,
571,0,11.243,,
572,0,10.432,,
573,0,9.637,,
574,0,8.946,,
575,0,8.306,,
576,0,7.824,,
577,2,7.445,,
578,182,9.74,,
579,452,13.028,,
580,688,17.476,,
581,860,19.968,,
582,954,21.684,,
583,967,22.745,,
