hour_of_year,insolation,temperature,wind,rainfall
1185,1005,3.537,,
1186,1089,4.729,,
1187,1076,5.462,,
1188,983,5.663,,
1189,822,5.371,,
1190,585,4.431,,
1191,304,2.708,,
1192,53,-0.954,,
1193,0,-2.529,,
1194,0,-2.876,,
1195,0,-3.357,,
1196,0,-3.623,,
1197,0,-3.675,,
1198,0,-3.744,,
1199,0,-3.994,,
1200,0,-4.449,,
1201,0,-5.031,,
1202,0,-5.469,,
1203,0,-5.822,,
1204,0,-6.171,,
1205,26,-6.344,,
1206,345,-3.501,,
1207,615,0.625,,
1208,845,3.993,,
1209,1010,5.751,,
1210,1093,6.816,,
1211,1078,7.376,,
1212,988,7.517,,
1213,816,7.119,,
1214,563,6.077,,
1215,281,4.248,,
1216,48,0.454,,
1217,0,-1.207,,
1218,0,-1.8,,
1219,0,-2.239,,
1220,0,-2.52,,
1221,0,-2.509,,
1222,0,-2.576,,
1223,0,-2.758,,
1224,0,-3.055,,
1225,0,-3.348,,
1226,0,-3.576,,
1227,0,-3.885,,
1228,0,-4.221,,
1229,28,-4.378,,
1230,352,-1.641,,
1231,621,2.467,,
1232,810,5.18,,
1233,977,6.81,,
1234,1096,7.779,,
1235,1096,7.967,,
1236,1002,7.493,,
1237,809,6.666,,
1238,563,5.491,,
1239,278,3.818,,
1240,42,0.536,,
1241,0,-1.268,,
1242,0,-1.595,,
1243,0,-2.026,,
1244,0,-2.538,,
1245,0,-3.007,,
1246,0,-3.363,,
1247,0,-3.833,,
1248,0,-4.482,,
1249,0,-5.125,,
1250,0,-5.526,,
1251,0,-5.852,,
1252,0,-6.179,,
1253,32,-6.007,,
1254,365,-2.777,,
1255,637,1.249,,
1256,870,3.352,,
1257,1034,4.665,,
1258,1116,5.415,,
1259,1108,5.549,,
1260,1020,5.07,,
1261,819,4.269,,
1262,592,3.349,,
