hour_of_year,insolation,temperature,rainfall,wind_speed,wind_direction,humidity
4531,0,30.5,22051,22,30,82
4532,0,30,22052,22,238,83
4533,0,29.5,22053,22,176,85
4534,0,28.9,22054,22,258,87
4535,0,28.3,22055,21,169,89
4536,0,27.8,22056,21,110,90
4537,0,27.7,22057,18,276,91
4538,0,27.6,22058,14,265,92
4539,0,27.5,22059,10,204,92
4540,0,27.4,22060,7,178,93
4541,0,27.3,22061,3,144,93
4542,0,27.2,22062,0,152,94
4543,59,28.1,22063,9,83,89
4544,153,29.1,22064,17,353,84
4545,481,30,22065,26,90,80
4546,373,30.7,22066,26,148,78
4547,406,31.5,22067,26,190,77
4548,183,32.2,22068,26,90,75
4549,462,32.3,22069,30,219,75
4550,432,32.4,22070,34,351,74
4551,362,32.5,22071,38,173,74
4552,241,32.6,22072,43,91,73
4553,58,32.7,22073,47,331,73
4554,0,32.8,22074,51,90,73
4555,0,32.1,22075,48,38,75
4556,0,31.5,22076,44,139,78
4557,0,30.8,22077,41,146,81
4558,0,30.2,22078,38,47,84
4559,0,29.6,22079,34,229,87
4560,0,28.9,22080,31,140,91
4561,0,28.6,22081,28,326,92
4562,0,28.3,22082,24,220,94
4563,0,28.1,22083,20,351,95
4564,0,27.8,22084,17,99,97
4565,0,27.5,22085,14,273,98
4566,207,27.2,22086,10,50,100
4567,32,28.5,22087,12,220,91
4568,204,29.8,22088,13,205,82
4569,572,31.1,22089,15,90,75
4570,483,31.5,22090,19,198,75
4571,453,31.8,22091,22,355,75
4572,84,32.2,22092,26,140,75
4573,476,32.3,22093,26,282,74
4574,469,32.4,22094,26,145,73
4575,432,32.5,22095,26,267,71
4576,291,32.6,22096,26,214,70
4577,77,32.7,22097,26,217,69
4578,0,32.8,22098,26,90,68
4579,0,32.1,22099,25,197,70
4580,0,31.5,22100,24,163,73
4581,0,30.8,22101,23,311,76
4582,0,30.2,22102,23,269,79
4583,0,29.6,22103,22,144,82
4584,0,28.9,22104,21,90,85
4585,0,28.7,22105,20,282,86
4586,0,28.5,22106,19,39,87
4587,0,28.3,22107,18,120,88
4588,0,28.2,22108,17,37,89
4589,0,28,22109,16,14,90
4590,0,27.8,22110,15,70,90
4591,72,28.5,22111,25,198,87
4592,145,29.3,22112,36,62,83
4593,187,30,22113,46,90,80
4594,427,30.7,22114,41,36,76
4595,497,31.5,22115,36,244,73
4596,718,32.2,22116,31,70,70
4597,528,32,22117,29,272,72
4598,471,31.8,22118,28,158,73
4599,342,31.7,22119,26,3,75
4600,188,31.5,22120,24,112,77
4601,32,31.3,22121,23,117,78
4602,0,31.1,22122,21,60,80
4603,0,30.6,22123,24,354,81
4604,0,30,22124,28,165,83
4605,0,29.4,22125,31,347,85
4606,0,28.9,22126,34,138,87
4607,0,28.4,22127,38,96,89
4608,0,27.8,22128,41,90,90
4609,0,27.7,22129,47,262,82
4610,0,27.6,22130,53,31,73
4611,0,27.5,22131,59,299,66
4612,0,27.4,22132,65,76,59
4613,0,27.3,22133,71,290,53
4614,0,27.2,22134,77,90,47
4615,473,27.8,22135,68,121,56
4616,565,28.3,22136,60,109,67
4617,589,28.9,22137,51,110,80
4618,441,30,22138,56,155,76
4619,513,31.1,22139,62,236,73
4620,526,32.2,22140,67,260,70
4621,528,31.8,22141,61,62,73
4622,366,31.5,22142,55,224,76
4623,240,31.1,22143,49,179,79
4624,116,30.7,22144,43,7,82
4625,0,30.4,22145,37,245,85
4626,0,30,22146,31,90,88
4627,0,29.5,22147,29,337,84
4628,0,29.1,22148,28,47,80
4629,0,28.6,22149,26,270,76
4630,0,28.1,22150,24,207,72
4631,0,27.7,22151,23,301,68
4632,0,27.2,22152,21,240,65
4633,0,27,22153,19,129,70
4634,0,26.8,22154,17,35,75
4635,0,26.7,22155,15,27,81
4636,0,26.5,22156,14,77,87
4637,0,26.3,22157,12,339,93
4638,0,26.1,22158,10,90,100
4639,0,27,22159,15,119,95
4640,42,28,22160,21,47,90
4641,57,28.9,22161,26,110,85
4642,352,30,22162,26,51,78
4643,496,31.1,22163,26,15,72
4644,262,32.2,22164,26,140,66
4645,578,32.3,22165,24,259,68
4646,523,32.4,22166,22,139,70
4647,382,32.5,22167,20,100,73
4648,214,32.6,22168,19,228,75
4649,30,32.7,22169,17,262,78
4650,0,32.8,22170,15,90,80
4651,0,32.1,22171,14,39,81
4652,0,31.5,22172,13,182,82
4653,0,30.8,22173,12,233,82
4654,0,30.2,22174,12,109,83
4655,0,29.6,22175,11,47,84
4656,0,28.9,22176,10,160,85
4657,0,28.6,22177,8,56,86
4658,0,28.3,22178,7,100,88
4659,0,28.1,22179,5,189,89
4660,0,27.8,22180,3,34,91
4661,0,27.5,22181,2,82,92
4662,171,27.2,22182,0,232,94
4663,101,28.5,22183,3,88,85
4664,294,29.8,22184,7,50,77
4665,87,31.1,22185,10,320,70
4666,484,32,22186,7,118,68
4667,536,33,22187,3,17,66
4668,65,33.9,22188,0,286,64
4669,573,34.1,22189,0,77,64
4670,633,34.3,22190,0,17,64
4671,547,34.5,22191,0,215,64
4672,349,34.6,22192,0,167,64
4673,93,34.8,22193,0,261,64
4674,0,35,22194,0,170,64
4675,0,34.8,22195,0,223,65
4676,0,34.6,22196,0,216,65
4677,0,34.5,22197,0,199,66
4678,0,34.3,22198,0,220,67
4679,0,34.1,22199,0,111,67
4680,0,33.9,22200,0,231,68
4681,0,33.1,22201,0,179,71
4682,0,32.2,22202,0,63,75
4683,0,31.4,22203,0,146,78
4684,0,30.6,22204,0,201,82
4685,0,29.7,22205,0,198,86
4686,0,28.9,22206,0,199,91
4687,72,29.6,22207,10,190,88
4688,110,30.4,22208,21,309,85
4689,210,31.1,22209,31,90,83
4690,359,31.5,22210,29,7,78
4691,499,31.8,22211,28,177,74
4692,526,32.2,22212,26,110,70
4693,542,31.8,22213,26,265,72
4694,472,31.5,22214,26,235,73
4695,343,31.1,22215,26,188,75
4696,202,30.7,22216,26,237,76
4697,31,30.4,22217,26,247,78
4698,0,30,22218,26,50,80
4699,0,29.4,22219,22,240,83
4700,0,28.7,22220,17,213,86
4701,0,28.1,22221,13,218,89
4702,0,27.4,22222,9,353,93
4703,0,26.8,22223,4,333,96
4704,0,26.1,22224,0,198,100
4705,0,26.1,22225,7,77,100
4706,0,26.1,22226,14,121,100
4707,0,26.1,22227,20,76,100
4708,0,26.1,22228,27,254,100
4709,0,26.1,22229,34,213,100
4710,0,26.1,22230,41,90,100
4711,0,26.7,22231,41,152,97
4712,13,27.2,22232,41,181,94
4713,57,27.8,22233,41,90,90
4714,116,28.5,22234,38,106,87
4715,209,29.3,22235,34,330,83
4716,54,30,22236,31,110,80
4717,260,29.5,22237,28,204,81
4718,234,29.1,22238,26,111,82
4719,118,28.6,22239,23,336,84
4720,77,28.1,22240,20,124,85
4721,0,27.7,22241,18,80,86
4722,0,27.2,22242,15,140,88
4723,0,27,22243,17,226,89
4724,0,26.8,22244,19,253,90
4725,0,26.7,22245,20,254,91
4726,0,26.5,22246,22,69,92
4727,0,26.3,22247,24,191,93
4728,0,26.1,22248,26,140,94
4729,0,25.9,22249,25,47,95
4730,0,25.7,22250,24,211,96
4731,0,25.6,22251,23,230,97
4732,0,25.4,22252,23,166,98
4733,0,25.2,22253,22,144,99
4734,47,25,22254,21,160,100
4735,13,25.9,22255,21,94,93
4736,115,26.9,22256,21,77,86
4737,57,27.8,22257,21,180,79
4738,355,28.5,22258,21,30,78
4739,369,29.3,22259,21,135,76
4740,17,30,22260,21,200,75
4741,315,29.8,22261,23,285,77
4742,286,29.6,22262,24,20,80
4743,180,29.4,22263,26,214,82
4744,76,29.3,22264,28,296,85
4745,0,29.1,22265,29,355,88
4746,0,28.9,22266,31,180,91
4747,0,28.6,22267,28,251,91
4748,0,28.3,22268,26,34,92
4749,0,28.1,22269,23,197,92
4750,0,27.8,22270,20,169,93
4751,0,27.5,22271,18,25,93
4752,0,27.2,22272,15,160,94
4753,0,27.2,22273,17,180,93
4754,0,27.2,22274,19,357,92
4755,0,27.2,22275,20,42,91
4756,0,27.2,22276,22,13,90
4757,0,27.2,22277,24,137,89
4758,0,27.2,22278,26,250,88
4759,40,27.2,22279,21,306,90
4760,26,27.2,22280,15,263,92
4761,4,27.2,22281,10,230,94
4762,7,26.5,22282,12,38,96
4763,18,25.7,22283,13,255,98
4764,17,25,22284,15,250,100
4765,7,25,22285,16,149,100
4766,5,25.1,22286,16,159,100
4767,1,25.1,22287,17,224,100
4768,0,25.1,22288,17,124,100
4769,0,25.2,22289,18,258,100
4770,0,25.2,22290,18,63,100
4771,0,25.1,22291,15,221,100
4772,0,25.1,22292,11,15,100
4773,0,25,22293,7,86,100
4774,0,24.9,22294,3,238,100
4775,0,24.9,22295,0,241,100
4776,0,24.8,22296,0,150,100
4777,0,25,22297,0,153,100
4778,0,25.2,22298,0,300,98
4779,0,25.5,22299,0,341,95
4780,0,25.7,22300,0,81,93
4781,0,25.9,22301,0,244,90
4782,0,26.1,22302,0,142,88
4783,72,26.7,22303,0,97,87
4784,96,27.2,22304,0,150,86
4785,57,27.8,22305,0,194,85
4786,210,28.5,22306,0,30,83
4787,277,29.3,22307,0,356,81
4788,499,30,22308,0,90,80
4789,233,29.5,22309,3,30,82
4790,183,29.1,22310,7,184,84
4791,105,28.6,22311,10,83,86
4792,38,28.1,22312,14,192,89
4793,0,27.7,22313,18,159,91
4794,0,27.2,22314,21,250,94
4795,0,27,22315,18,54,95
4796,0,26.8,22316,14,87,96
4797,0,26.7,22317,10,165,97
4798,0,26.5,22318,7,41,98
4799,0,26.3,22319,3,352,99
4800,0,26.1,22320,0,120,100
4801,0,25.9,22321,0,235,100
4802,0,25.7,22322,0,101,100
4803,0,25.6,22323,0,134,100
4804,0,25.4,22324,0,22,100
4805,0,25.2,22325,0,194,100
4806,0,25,22326,0,68,100
4807,12,26.3,22327,7,59,93
4808,114,27.6,22328,14,74,86
4809,191,28.9,22329,21,230,80
4810,427,30.6,22330,14,113,76
4811,482,32.2,22331,7,45,73
4812,84,33.9,22332,0,291,71
4813,526,33.6,22333,0,30,71
4814,520,33.3,22334,0,136,71
4815,437,33.1,22335,0,5,70
4816,288,32.8,22336,0,46,70
4817,67,32.5,22337,0,331,70
4818,0,32.2,22338,0,281,70
4819,0,31.4,22339,0,232,74
4820,0,30.5,22340,0,217,77
4821,0,29.7,22341,0,263,81
4822,0,28.9,22342,0,160,85
4823,0,28,22343,0,237,89
4824,0,27.2,22344,0,21,94
4825,0,26.9,22345,0,30,95
4826,0,26.6,22346,0,81,96
4827,0,26.3,22347,0,98,98
4828,0,26,22348,0,193,99
4829,0,25.7,22349,0,204,100
4830,0,26.5,22350,4,141,96
4831,21,27.3,22351,8,7,92
4832,80,28.1,22352,11,339,88
4833,187,28.9,22353,15,70,85
4834,209,30.1,22354,12,224,84
4835,125,31.3,22355,8,149,83
4836,140,32.4,22356,5,116,82
4837,204,31.7,22357,8,217,84
4838,135,30.9,22358,12,202,86
4839,47,30.1,22359,15,6,89
4840,16,29.3,22360,19,21,91
4841,0,28.6,22361,22,271,94
4842,0,27.8,22362,26,110,97
4843,0,27.7,22363,26,33,96
4844,0,27.6,22364,26,290,96
4845,0,27.5,22365,26,92,95
4846,0,27.4,22366,26,250,95
4847,0,27.3,22367,26,250,94
4848,0,27.2,22368,26,90,94
4849,0,27,22369,26,359,95
4850,0,26.8,22370,26,21,96
4851,0,26.7,22371,26,256,97
4852,0,26.5,22372,26,50,98
4853,0,26.3,22373,26,13,99
4854,0,26.1,22374,26,90,100
4855,0,26.5,22375,24,293,98
4856,25,26.8,22376,23,7,96
4857,57,27.2,22377,21,110,94
4858,90,28.5,22378,24,359,89
4859,183,29.8,22379,28,124,84
4860,498,31.1,22380,31,110,80
4861,232,30.7,22381,26,351,82
4862,206,30.4,22382,21,111,83
4863,102,30,22383,15,276,85
4864,64,29.6,22384,10,311,87
4865,0,29.3,22385,5,96,89
4866,0,28.9,22386,0,225,91
4867,0,28.6,22387,0,106,91
4868,0,28.3,22388,0,299,92
4869,0,28.1,22389,0,67,92
4870,0,27.8,22390,0,155,93
4871,0,27.5,22391,0,350,93
4872,0,27.2,22392,0,262,94
4873,0,27.2,22393,5,84,94
4874,0,27.2,22394,10,50,94
4875,0,27.2,22395,15,210,94
4876,0,27.2,22396,21,163,94
4877,0,27.2,22397,26,160,94
4878,0,27.2,22398,31,140,94
4879,4,27.8,22399,28,185,93
4880,24,28.3,22400,24,191,92
4881,207,28.9,22401,21,140,91
4882,26,28.5,22402,21,124,93
4883,17,28.2,22403,21,42,95
4884,54,27.8,22404,21,180,97
4885,12,27.7,22405,18,197,98
4886,5,27.6,22406,16,107,99
4887,1,27.5,22407,13,74,100
4888,0,27.4,22408,11,83,100
4889,0,27.3,22409,8,73,100
4890,0,27.2,22410,5,150,100
4891,0,27.2,22411,8,255,100
4892,0,27.2,22412,11,299,100
4893,0,27.2,22413,13,42,100
4894,0,27.2,22414,16,269,100
4895,0,27.2,22415,18,132,100
4896,0,27.2,22416,21,160,100
4897,0,27.2,22417,21,44,99
4898,0,27.2,22418,21,59,98
4899,0,27.2,22419,21,327,97
4900,0,27.2,22420,21,25,96
4901,0,27.2,22421,21,149,95
4902,161,27.2,22422,21,230,94
4903,31,27.8,22423,21,252,91
4904,80,28.3,22424,21,355,88
4905,189,28.9,22425,21,230,85
4906,297,29.6,22426,14,311,81
4907,347,30.4,22427,7,192,78
4908,85,31.1,22428,0,219,75
4909,417,30.9,22429,0,249,76
4910,318,30.7,22430,0,106,78
4911,184,30.6,22431,0,169,80
4912,130,30.4,22432,0,103,81
4913,0,30.2,22433,0,87,83
4914,0,30,22434,0,91,85
4915,0,29.5,22435,6,148,86
4916,0,29.1,22436,12,13,88
4917,0,28.6,22437,18,100,89
4918,0,28.1,22438,24,159,91
4919,0,27.7,22439,30,234,92
4920,0,27.2,22440,36,180,94
4921,0,27.2,22441,30,199,94
4922,0,27.2,22442,24,59,94
4923,0,27.2,22443,18,295,94
4924,0,27.2,22444,12,74,94
4925,0,27.2,22445,6,256,94
4926,160,27.2,22446,0,71,94
4927,31,27.8,22447,0,272,91
4928,67,28.3,22448,0,223,88
4929,33,28.9,22449,0,18,85
4930,131,28.9,22450,3,308,87
4931,48,28.9,22451,7,287,89
4932,65,28.9,22452,10,230,91
4933,51,28.7,22453,12,93,91
4934,48,28.5,22454,14,309,91
4935,20,28.3,22455,15,104,91
4936,14,28.2,22456,17,135,91
4937,0,28,22457,19,322,91
4938,0,27.8,22458,21,110,90
4939,0,27.7,22459,18,58,91
4940,0,27.6,22460,14,98,92
4941,0,27.5,22461,10,260,92
4942,0,27.4,22462,7,36,93
4943,0,27.3,22463,3,278,93
4944,0,27.2,22464,0,199,94
4945,0,27,22465,0,6,95
4946,0,26.8,22466,0,106,96
4947,0,26.7,22467,0,136,97
4948,0,26.5,22468,0,186,98
4949,0,26.3,22469,0,303,99
4950,0,26.1,22470,0,9,100
4951,0,26.7,22471,3,269,99
4952,24,27.2,22472,7,73,98
4953,56,27.8,22473,10,160,97
4954,79,28.9,22474,17,139,89
4955,228,30,22475,24,286,81
4956,48,31.1,22476,31,140,75
4957,313,30.7,22477,26,291,77
4958,286,30.4,22478,21,286,80
4959,180,30,22479,15,20,82
4960,75,29.6,22480,10,271,85
4961,0,29.3,22481,5,100,88
4962,0,28.9,22482,0,1,91
4963,0,28.7,22483,2,284,91
4964,0,28.5,22484,5,179,91
4965,0,28.3,22485,8,79,91
4966,0,28.2,22486,10,215,91
4967,0,28,22487,12,183,91
