hour_of_year,insolation,temperature,wind,rainfall
1300,0,27.247,,
1301,0,27.305,,
1302,17,27.399,,
1303,195,27.46,,
1304,428,27.522,,
1305,635,27.622,,
1306,787,27.74,,
1307,862,27.826,,
1308,873,27.888,,
1309,811,27.937,,
1310,665,27.98,,
1311,469,28,,
1312,236,28.008,,
1313,41,27.982,,
1314,0,27.915,,
1315,0,27.85,,
1316,0,27.769,,
1317,0,27.665,,
1318,0,27.558,,
1319,0,27.458,,
1320,0,27.336,,
1321,0,27.204,,
1322,0,27.107,,
1323,0,27.055,,
1324,0,27.041,,
1325,0,27.069,,
1326,5,27.102,,
1327,70,27.142,,
1328,237,27.222,,
1329,430,27.348,,
1330,716,27.456,,
1331,841,27.505,,
1332,862,27.559,,
1333,795,27.611,,
1334,639,27.661,,
1335,427,27.715,,
1336,193,27.776,,
1337,31,27.831,,
1338,0,27.867,,
1339,0,27.896,,
1340,0,27.9,,
1341,0,27.873,,
1342,0,27.804,,
1343,0,27.709,,
1344,0,27.605,,
1345,0,27.497,,
1346,0,27.398,,
1347,0,27.302,,
1348,0,27.236,,
1349,0,27.178,,
1350,12,27.133,,
1351,160,27.107,,
1352,371,27.131,,
1353,604,27.185,,
1354,748,27.213,,
1355,800,27.231,,
1356,768,27.268,,
