sl,model,panel_manufacturer,rating,tech_type,Voc,Isc,Vmp,Imp,NOCT,T_Pmax,T_Voc,T_Isc,dimensions,weight,cell_count,price,efficiency,life,Remarks
123,Bi-11-390,Waaree,507,MONOCRYSTALLINE BIFACIAL,49.29,10.09,40.61,9.62,46,-0.37,-0.27,0.05,2002x998.5x6.5,28,72,17745,25.36,25,AHNAY SERIES
124,Bi-11-395,Waaree,513.5,MONOCRYSTALLINE BIFACIAL,49.62,10.16,40.88,9.69,46,-0.37,-0.27,0.05,2002x998.5x6.5,28,72,17972.5,25.69,25,AHNAY SERIES
125,Bi-13-380,Waaree,494,MONOCRYSTALLINE BIFACIAL,48.14,10.16,39.07,9.75,43,-0.37,-0.27,0.05,2031x999x6.5,29,144,17290,24.35,25,AHNAY SERIES
126,Bi-13-385,Waaree,501,MONOCRYSTALLINE BIFACIAL,48.45,10.22,39.32,9.82,43,-0.37,-0.27,0.05,2031x999x6.5,29,144,17535,24.67,25,AHNAY SERIES
127,Bi-13-390,Waaree,507,MONOCRYSTALLINE BIFACIAL,48.76,10.29,39.56,9.88,43,-0.37,-0.27,0.05,2031x999x6.5,29,144,17745,24.99,25,AHNAY SERIES
128,Bi-13-395,Waaree,514,MONOCRYSTALLINE BIFACIAL,49.07,10.35,39.81,9.95,43,-0.37,-0.27,0.05,2031x999x6.5,29,144,17990,25.31,25,AHNAY SERIES
129,Bi-13-400,Waaree,520,MONOCRYSTALLINE BIFACIAL,49.39,10.42,40.07,10.02,43,-0.37,-0.27,0.05,2031x999x6.5,29,144,18200,25.63,25,AHNAY SERIES
130,WM-100-FX,Waaree,100,MONOCRYSTALLINE FLEXIBLE,14.98,8.49,12.15,8.24,43,-0.3938,-0.3095,0.0398,2030x373x21,3.5,24,N/A,13.21,25,MERLIN-FLEXIBLE MODULE
131,WM-105-FX,Waaree,105,MONOCRYSTALLINE FLEXIBLE,15.21,8.65,12.53,8.39,43,-0.3938,-0.3095,0.0398,2030x373x21,3.5,24,N/A,13.86,25,MERLIN-FLEXIBLE MODULE
132,WM-110-FX,Waaree,110,MONOCRYSTALLINE FLEXIBLE,15.5,8.81,12.89,8.54,43,-0.3938,-0.3095,0.0398,2030x373x21,3.5,24,N/A,14.53,25,MERLIN-FLEXIBLE MODULE
133,WM-155-FX36L,Waaree,155,MONOCRYSTALLINE FLEXIBLE,22.67,8.61,18.58,8.35,46,-0.3938,-0.3095,0.0398,2983x373x21,5.5,36,N/A,13.93,25,MERLIN-FLEXIBLE MODULE
134,WM-160-FX36L,Waaree,160,MONOCRYSTALLINE FLEXIBLE,23.01,8.72,18.92,8.46,46,-0.3938,-0.3095,0.0398,2983x373x21,5.5,36,N/A,14.38,25,MERLIN-FLEXIBLE MODULE
135,WM-165-FX36L,Waaree,165,MONOCRYSTALLINE FLEXIBLE,23.25,8.81,19.34,8.54,46,-0.3938,-0.3095,0.0398,2983x373x21,5.5,36,N/A,14.82,25,MERLIN-FLEXIBLE MODULE
136,WM-155-FX,Waaree,155,MONOCRYSTALLINE FLEXIBLE,22.67,8.61,18.58,8.35,46,-0.3938,-0.3095,0.0398,1068x987x21,5.5,36,N/A,14.7,25,MERLIN-FLEXIBLE MODULE
137,WM-160-FX,Waaree,160,MONOCRYSTALLINE FLEXIBLE,23.01,8.72,18.92,8.46,46,-0.3938,-0.3095,0.0398,1068x987x21,5.5,36,N/A,15.18,25,MERLIN-FLEXIBLE MODULE
138,WM-165-FX,Waaree,165,MONOCRYSTALLINE FLEXIBLE,23.25,8.81,19.34,8.54,46,-0.3938,-0.3095,0.0398,1068x987x21,5.5,36,N/A,15.65,25,MERLIN-FLEXIBLE MODULE
139,LE18P260,Lubi Solar,260,POLYCRYSTALLINE,37.42,8.88,31.01,8.41,45,0.361,-0.304,0.05,1641x991x35,18.3,60,N/A,16,25,N/A
140,LE18P265,Lubi Solar,265,POLYCRYSTALLINE,37.76,8.92,31.44,8.45,45,0.361,-0.304,0.05,1641x991x35,18.3,60,N/A,16.29,25,N/A
141,LE18P270,Lubi Solar,270,POLYCRYSTALLINE,37.92,8.98,31.85,8.5,45,0.361,-0.304,0.05,1641x991x35,18.3,60,N/A,16.6,25,N/A
142,LE18P275,Lubi Solar,275,POLYCRYSTALLINE,38.19,9.03,32.2,8.57,45,0.361,-0.304,0.05,1641x991x35,18.3,60,N/A,16.91,25,N/A
143,LE24P315,Lubi Solar,315,POLYCRYSTALLINE,45.55,8.94,37.51,8.42,45,0.361,-0.304,0.05,1961x991x35,21.5,72,N/A,16.2,25,N/A
144,LE24P320,Lubi Solar,320,POLYCRYSTALLINE,45.74,9.01,37.7,8.51,45,0.361,-0.304,0.05,1961x991x35,21.5,72,N/A,16.46,25,N/A
145,LE24P325,Lubi Solar,325,POLYCRYSTALLINE,45.86,9.06,37.88,8.59,45,0.361,-0.304,0.05,1961x991x35,21.5,72,N/A,16.72,25,N/A
146,LE24P330,Lubi Solar,330,POLYCRYSTALLINE,45.98,9.1,38.11,8.66,45,0.361,-0.304,0.05,1961x991x35,21.5,72,N/A,16.98,25,N/A
147,LE18M275,Lubi Solar,275,MONOCRYSTALLINE,38.02,9.09,32,8.62,46,-0.35,-0.301,0.05,1641x991x35,18.3,60,N/A,16.91,25,N/A
148,LE18M280,Lubi Solar,280,MONOCRYSTALLINE,38.25,9.17,32.25,8.71,46,-0.35,-0.301,0.05,1641x991x35,18.3,60,N/A,17.21,25,N/A
149,LE18M285,Lubi Solar,285,MONOCRYSTALLINE,38.43,9.28,32.47,8.8,46,-0.35,-0.301,0.05,1641x991x35,18.3,60,N/A,17.52,25,N/A
150,LE18M290,Lubi Solar,290,MONOCRYSTALLINE,38.65,9.37,32.73,8.88,46,-0.35,-0.301,0.05,1641x991x35,18.3,60,N/A,17.83,25,N/A
151,LE18M295,Lubi Solar,295,MONOCRYSTALLINE,38.92,9.45,33.04,8.95,46,-0.35,-0.301,0.05,1641x991x35,18.3,60,N/A,18.14,25,N/A
152,LE24M335,Lubi Solar,335,MONOCRYSTALLINE,45.64,9.18,38.47,8.73,46,-0.35,-0.301,0.05,1961x991x35,21.5,72,N/A,17.23,25,N/A
153,LE24M340,Lubi Solar,340,MONOCRYSTALLINE,45.64,9.18,38.47,8.73,46,-0.35,-0.301,0.05,1961x991x35,21.5,72,N/A,17.49,25,N/A
154,LE24M345,Lubi Solar,345,MONOCRYSTALLINE,45.91,9.35,38.92,8.87,46,-0.35,-0.301,0.05,1961x991x35,21.5,72,N/A,17.75,25,N/A
155,LE24M350,Lubi Solar,350,MONOCRYSTALLINE,46.02,9.48,39.04,8.97,46,-0.35,-0.301,0.05,1961x991x35,21.5,72,N/A,18.01,25,N/A
156,LE24M355,Lubi Solar,355,MONOCRYSTALLINE,46.44,9.54,39.31,9.04,46,-0.35,-0.301,0.05,1961x991x35,21.5,72,N/A,18.26,25,N/A
157,LE18M295,Lubi Solar,295,MONOCRYSTALLINE PERC,38.42,9.53,32.75,9.01,46,-0.35,-0.301,0.05,1641x991x35,18.3,60,N/A,18.14,25,N/A
158,LE18M300,Lubi Solar,300,MONOCRYSTALLINE PERC,38.94,9.56,33.06,9.08,46,-0.35,-0.301,0.05,1641x991x35,18.3,60,N/A,18.44,25,N/A
159,LE18M305,Lubi Solar,305,MONOCRYSTALLINE PERC,39.23,9.64,33.4,9.14,46,-0.35,-0.301,0.05,1641x991x35,18.3,60,N/A,18.75,25,N/A
160,LE18M310,Lubi Solar,310,MONOCRYSTALLINE PERC,39.6,9.71,33.73,9.2,46,-0.35,-0.301,0.05,1641x991x35,18.3,60,N/A,19.06,25,N/A
161,LE18M315,Lubi Solar,315,MONOCRYSTALLINE PERC,39.85,9.76,34.06,9.25,46,-0.35,-0.301,0.05,1641x991x35,18.3,60,N/A,19.36,25,N/A
